abs_path,label,class_name,source,md5
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (445).jpg,0,healthy,tilahun,693dfbfe2b7854cf419c87d98bbca5e8
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (182).JPG,0,healthy,plantvillage,28c47812a398bab37d68dbc40c0039b4
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/20230712_153956.jpg,1,early_blight,mendeley_ue,17193b34d5d95d444d451d992c36b058
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Late_blight_Phytopthora/IMG_9520.JPG,2,late_blight,mendeley_ue,021cacdbce5bddd35134e2633a968108
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (425).jpg,0,healthy,tilahun,aff6181363448c053efc5becc9562b25
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/IMG_4786.JPG,1,early_blight,mendeley_ue,3c4ab12299c53d4ec038967aeab97268
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (414).jpg,0,healthy,tilahun,d9c17f789be526c5f70a7b5c97c22dba
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (957).JPG,1,early_blight,plantvillage,35fd0fbc8355b1281bec536c5e303fac
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/20230712_153941.jpg,1,early_blight,mendeley_ue,1a674f66f50bc26ea5f0fc40c396b5af
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (811).JPG,2,late_blight,plantvillage,3520d0d64110866594e3e9612f5dfee1
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (193).JPG,1,early_blight,plantvillage,87dbafbffb4a8b9df3237c4dd44f5522
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (530).JPG,1,early_blight,plantvillage,63c940fdfc648b5aeaeb7b5f2457eadc
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (956).JPG,1,early_blight,plantvillage,4979db82fd26a3ea1a720e646c407a36
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (82).JPG,2,late_blight,plantvillage,7a58d31f7a8b9ab759a85db757bdadf5
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___Late_blight/IMG_20240806_153122_042_Tizón Tardio_151.jpg,2,late_blight,quizhpe,73e0b295513d4d281f3c950a7cc5f187
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___healthy/20230815_144827.jpg,0,healthy,mendeley_ue,f8e6818b8d915456a2b87cc739c681be
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (276).JPG,0,healthy,plantvillage,8b75ee876dfb1fd969570bf5535218a3
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (391).jpg,0,healthy,tilahun,3b774c290f5933787f6bcaf35e01e72b
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (114).JPG,0,healthy,plantvillage,084bca0283e2c36fb3f7f202eba10c6d
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (418).JPG,0,healthy,plantvillage,c0c906ba85a86dba4cd3ef17a14fe423
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (938).JPG,2,late_blight,plantvillage,fb2857512ae4b248713af0ce95e487d9
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___healthy/20230815_121201.jpg,0,healthy,mendeley_ue,2f887bfd7445b1303618cbe0127c8a43
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Late_blight_Phytopthora/20230802_124700039.jpg,2,late_blight,mendeley_ue,a2af36f53f7c900265c9c44b87a29d1d
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (698).JPG,1,early_blight,plantvillage,80ca224e93e6f4cda576efbf8f0231a0
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (178).JPG,1,early_blight,plantvillage,e6ecca91483b473d4104b9a9e286a961
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (887).JPG,2,late_blight,plantvillage,692716f88d1ba1e8f4c12bb0a155961f
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (967).JPG,0,healthy,plantvillage,38920cca0aa0f4ad1085dd8e94349404
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (182).JPG,1,early_blight,plantvillage,661a6d93b1173bd3f65067973b85558c
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (540).JPG,1,early_blight,plantvillage,bb2dc8e8911090f7c277626d7c2946ff
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/IMG_9376.JPG,1,early_blight,mendeley_ue,8c512ecfe5378f8dfa82aca252804b6b
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/20230815_121541.jpg,1,early_blight,mendeley_ue,72b61f67508073d17d25958fd079f242
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (14).JPG,2,late_blight,plantvillage,f3670f7c8904022226c16b06267351f9
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___healthy/IMG_4773.JPG,0,healthy,mendeley_ue,eca43abaae897fd8cda008dabb9d0115
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (930).JPG,0,healthy,plantvillage,74061659e03613502ed03cdf84262f21
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (811).JPG,0,healthy,plantvillage,daa27a2bdc5d4ceb6c7a7b2862f84c4d
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (555).JPG,0,healthy,plantvillage,c58f81761d9bd34c71fc790379df8d6b
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (354).JPG,1,early_blight,plantvillage,3ac9da25604a211a0db48975ab786b12
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (504).jpg,0,healthy,tilahun,c8d34d33df203aec6a55b8b90b4bea6a
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (907).JPG,2,late_blight,plantvillage,0806e0e24631da199036d80c6644fbdc
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___Late_blight/IMG_20240806_153257_896_Tizón Tardio_145.jpg,2,late_blight,quizhpe,682e325e91342aea750f22a80c48b308
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (641).JPG,1,early_blight,plantvillage,4c82b72fc9f7653ca41a38563aa0ce74
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (55).JPG,1,early_blight,plantvillage,eec13c1ddad40eea6201a6033c49c3d0
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (377).JPG,2,late_blight,plantvillage,35a0116b9996b66e55439cf92e274f52
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (374).JPG,2,late_blight,plantvillage,6f77ce9f7cceeef0d13e3cec59bcff81
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (50).JPG,0,healthy,plantvillage,879452c4c37af8f24ee674cad49fddf4
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/IMG_9422.JPG,1,early_blight,mendeley_ue,69d09e795a121d3cd02a8c0a942908e3
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/IMG_9360.JPG,1,early_blight,mendeley_ue,cc9e7be58bc83bcd08d8dfa98db1c8cf
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (427).JPG,1,early_blight,plantvillage,38cf2d55dd816b89e1d2f96b645fcbb9
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___healthy/IMG_20240731_162027_217_Sana_15.jpg,0,healthy,quizhpe,86f40e6481dd7c5978c2ac8d3b7842ed
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (870).JPG,1,early_blight,plantvillage,7460c3d70eddf9258c37a5ed87a0308d
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (800).JPG,1,early_blight,plantvillage,649700a1bd155a2f42ca2f4caa15760f
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (598).JPG,0,healthy,plantvillage,46934d01963690c45ff025dc7b7419b8
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (980).JPG,2,late_blight,plantvillage,1a3df547c2971b47caf268d99691bc26
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (437).jpg,0,healthy,tilahun,1b0f1f3385f1229fb3f3954ed1064e5d
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___Late_blight/IMG_20240806_153745_993_Tizón Tardio_119.jpg,2,late_blight,quizhpe,53f9fcea2b18f0902bcc67ce0aa9ad3b
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Late_blight_Phytopthora/IMG_0330.JPG,2,late_blight,mendeley_ue,e0aa86d63ecb5323e652e2a16d8a8157
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___healthy/IMG_20240731_162209_328_Sana_10.jpg,0,healthy,quizhpe,02d066e46e2e5ecad1eed91abfcb1757
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Late_blight_Phytopthora/IMG_0378.JPG,2,late_blight,mendeley_ue,b655d91e72f884294dae46bf4f4d26ed
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (854).JPG,1,early_blight,plantvillage,b99fd03c676d40869ea96a71d25af7b0
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (955).JPG,2,late_blight,plantvillage,3f1fec400b72db9fe97aed29cdaf6f05
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (22).JPG,0,healthy,plantvillage,7b2b479b475feef4410f3baf1bde3299
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (760).JPG,1,early_blight,plantvillage,30d5669d5ba87ed4eabe2a35a6f4332c
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (856).JPG,0,healthy,plantvillage,987bd9a5cc05653230e4a1326b7a3ce9
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___healthy/IMG_20230815_152320.jpg,0,healthy,mendeley_ue,da5c95d8a85766c014c3363eb7af61d1
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (299).JPG,2,late_blight,plantvillage,9cc244f591bef6d1380f019ef5dc373d
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/20230802_110338.jpg,1,early_blight,mendeley_ue,4d01efa02a780c0cc5c72c498648eada
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___healthy/20230802_124914.jpg,0,healthy,mendeley_ue,d8a025d31fc4177f59bb44fb1f345387
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (291).jpg,0,healthy,tilahun,5d7d36a662e61686b8f98f35ce950bea
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (344).jpg,0,healthy,tilahun,2cef3304f01aba10d60550bd6c32ca23
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (455).JPG,2,late_blight,plantvillage,bf0be650c2342b7174c4ac580148cea5
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/IMG_9403.JPG,1,early_blight,mendeley_ue,692a778c3d361deb51cb641bd44b219d
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Late_blight_Phytopthora/20230802_124148.jpg,2,late_blight,mendeley_ue,0a6d21e634d931b1249f844a76e4f5c4
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___Late_blight/IMG_20240806_155910_430_Tizón Tardio_44.jpg,2,late_blight,quizhpe,e275b39ed7365d1236e1328413ba7536
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (392).jpg,0,healthy,tilahun,cd0648bc11c7e4bc1fb495ddeb2909b0
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (122).JPG,0,healthy,plantvillage,f775616c62a14f9694654bf3a15c1a73
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Late_blight_Phytopthora/IMG_9518 (1).JPG,2,late_blight,mendeley_ue,454decf74d17dafce455c29231937f02
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (791).JPG,2,late_blight,plantvillage,3793eb7f29cb063381b9ef8536b1c2a0
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (923).JPG,1,early_blight,plantvillage,09e4d628c8e0c3f7055845f55bf6c2cc
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___healthy/IMG_4812.JPG,0,healthy,mendeley_ue,41511d9972c87bd19c290a73e6d4d422
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (662).JPG,0,healthy,plantvillage,897998d03ed53b01b7afaa538ca5ca69
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (13).JPG,1,early_blight,plantvillage,486db781e026b4052872ededb69c1fec
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___Late_blight/IMG_20240806_154458_919_Tizón Tardio_90.jpg,2,late_blight,quizhpe,92e2bfbd763685365afa65996f42395e
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___Late_blight/IMG_20240731_162534_590_Tizón Tardio_155.jpg,2,late_blight,quizhpe,59588c726392b3b3cdfb72fbffddf4a8
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (658).JPG,1,early_blight,plantvillage,57d1d1e5a16a826bcb2bbeca29126150
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (939).JPG,1,early_blight,plantvillage,a043c23ff8e011d088a7b39bd579ce38
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/IMG_9382.JPG,1,early_blight,mendeley_ue,56781ee9ddb776aa1c84891e599b489e
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (998).JPG,0,healthy,plantvillage,d9076fb79da453486793c45158210e94
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (441).jpg,0,healthy,tilahun,45d944d835704a9ca3c772cc12d33a92
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (175).JPG,0,healthy,plantvillage,d9837f1c6427d0004b3ff6afd3af6846
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (436).JPG,0,healthy,plantvillage,bdde123b96c5cae76bb339cb434f53ec
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (441).JPG,1,early_blight,plantvillage,a0cbf3d929dbea338857316cc178064e
/home/victor/Documents/dataset/Addis/Potato_Late_Blight/Late_Blight (515).jpg,2,late_blight,tilahun,2fec6f5717cb33e39abff8f49968a51c
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (99).JPG,2,late_blight,plantvillage,7a598e0ca701300b630a6312052c224d
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (403).JPG,1,early_blight,plantvillage,5d337856d64a343b3a48e135e9cd19ad
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (987).JPG,1,early_blight,plantvillage,4fd421e40b54fe2fb9ebf8a735044a1c
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (735).JPG,0,healthy,plantvillage,09e6215b44bdcc76c05ee9df27918e8a
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Late_blight_Phytopthora/20230802_123755.jpg,2,late_blight,mendeley_ue,7cd2951ccc45e62b8ba50e91d0e11220
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___Late_blight/IMG_20240731_160725_513_Tizón Tardio_265.jpg,2,late_blight,quizhpe,0a6c8f640b6462659c7305c71125a482
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (799).JPG,2,late_blight,plantvillage,23aafc74e1132cd2e00de0222de55ef8
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (71).JPG,2,late_blight,plantvillage,7e72f5ed3818124d90894cf342d9296e
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Late_blight_Phytopthora/20230802_123806707.jpg,2,late_blight,mendeley_ue,f31e2c4f2fbef6142c69c26d97cb5130
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (603).JPG,0,healthy,plantvillage,c626c1c75b53f46c0c45e53637887165
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___Late_blight/IMG_20240806_153219_043_Tizón Tardio_146.jpg,2,late_blight,quizhpe,56a1efd9a1978d91213287ea4ec2fca8
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (422).JPG,1,early_blight,plantvillage,fd33fa93da61fe32985d948675b7a693
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (814).JPG,0,healthy,plantvillage,0fdf74eb8956bb32e55cb243b84f327a
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (731).JPG,1,early_blight,plantvillage,d3aff27770b998af12708174a08596a1
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (724).JPG,0,healthy,plantvillage,82e305d7fa3888eab0f5fa28877c5da4
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (771).JPG,2,late_blight,plantvillage,089882e9b2504b4b2bfe08d07811295f
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (66).JPG,2,late_blight,plantvillage,30abca7d4dd658c0dce756518b629e87
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (496).JPG,0,healthy,plantvillage,013df10320b719f17bb4ac545eab47c2
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (471).jpg,0,healthy,tilahun,ca4219de4651389c21cb9762d5199271
/home/victor/Documents/dataset/GerardoQuizhpe/Potato___Late_blight/IMG_20240731_161743_048_Tizón Tardio_213.jpg,2,late_blight,quizhpe,ddf55195016b7546b1af346972156f8d
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (436).JPG,1,early_blight,plantvillage,63beb34d3fdf9b071e03a3e38d7b488b
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (736).JPG,1,early_blight,plantvillage,549df1602b2b37cf55efa91818af8117
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (207).JPG,1,early_blight,plantvillage,9578008a748122d09380702fd5e9673f
/home/victor/Documents/dataset/Plantville/Potato___healthy/image (307).JPG,0,healthy,plantvillage,1686727802181dce90c29f89a961fa2c
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (198).JPG,2,late_blight,plantvillage,b71e0efac78f8a2513c5cc31a93b5a4a
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (240).JPG,2,late_blight,plantvillage,ff8822ca8b396e98974f9dbbd2525883
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (979).JPG,2,late_blight,plantvillage,0fe80b847d875983d3e1e1585b155544
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (468).jpg,0,healthy,tilahun,11b602975047ff89e24302a84443583d
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (346).jpg,0,healthy,tilahun,38e093fc69f955d9686b944f45e09453
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (504).JPG,2,late_blight,plantvillage,b44a41591bbbc9e93c683fec66be9035
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (417).jpg,0,healthy,tilahun,1be66ceab5d1eb5e83705be557abf950
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/IMG_0278.JPG,1,early_blight,mendeley_ue,a2e7a8329afb190901e7d176eed3572a
/home/victor/Documents/dataset/Plantville/Potato___Late_blight/image (4).JPG,2,late_blight,plantvillage,7f7fe05a92588bc75c5543e9744d422f
/home/victor/Documents/dataset/Addis/Potato_Healthy/Healthy (403).jpg,0,healthy,tilahun,497bb5f009d7d3cf38c2b1c0f50dd3ac
/home/victor/Documents/dataset/Plantville/Potato___Early_blight/image (387).JPG,1,early_blight,plantvillage,46010e7884b34d2e246a238c02e75766
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Late_blight_Phytopthora/IMG_20230816_081619.jpg,2,late_blight,mendeley_ue,8b9ebe72f93b192583aaf43a54cf58a3
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/IMG_20230815_112711~2.jpg,1,early_blight,mendeley_ue,6e77fbe550c1bfba3f2dd627e21aa5c6
/home/victor/Documents/dataset/mendeley_uncontrolled_Environment/Potato___Early_blight_Fungi/20230802_111450833.jpg,1,early_blight,mendeley_ue,6b91c980ed2e27a21774e4e88865d0ac
